date,observed,counterfactual,avoided_cases,counterfactual_lower,counterfactual_upper
2022-09-03,551318.0,1.4698836262972762e+51,1.4698836262972762e+51,6.82145699206733e+33,1.5553874893454598e+70
2022-09-10,495719.0,3.470408936877042e+51,3.470408936877042e+51,1.1791849489563368e+34,5.1710156109920046e+70
2022-09-17,409750.0,8.193667834435935e+51,8.193667834435935e+51,2.0383885290355064e+34,1.7191480414038865e+71
2022-09-24,402920.0,1.9345326099086383e+52,1.9345326099086383e+52,3.523645924209607e+34,5.715456000174711e+71
2022-10-01,326037.0,4.5674495164076434e+52,4.5674495164076434e+52,6.091129176957275e+34,1.9001534574552246e+72
2022-10-08,301251.0,1.0783790864046298e+53,1.0783790864046298e+53,1.0529399638809733e+35,6.317229414460073e+72
2022-10-15,251041.0,2.546063070467215e+53,2.546063070467215e+53,1.8201603869184705e+35,2.1002200694562447e+73
2022-10-22,259175.0,6.011278631533746e+53,6.011278631533746e+53,3.146414642894478e+35,6.982374569933337e+73
2022-10-29,262273.0,1.4192684857293298e+54,1.4192684857293298e+54,5.439043046593372e+35,2.321355556131183e+74
2022-11-05,286262.0,3.350906118405096e+54,3.350906118405096e+54,9.402195575751867e+35,7.717566355481068e+74
2022-11-12,262380.0,7.911520566592869e+54,7.911520566592869e+54,1.6253103718374015e+36,2.5657791054210814e+75
2022-11-19,312390.0,1.8679173770888401e+55,1.8679173770888401e+55,2.809594035193672e+36,8.530182867870802e+75
2022-11-26,260177.0,4.410170331053131e+55,4.410170331053131e+55,4.8568095637527677e+36,2.835943701976642e+76
2022-12-03,410864.0,1.0412453242023798e+56,1.0412453242023798e+56,8.395736762688829e+36,9.428379512150937e+76
2022-12-10,446748.0,2.4583899119252804e+56,2.4583899119252804e+56,1.4513320478325375e+37,3.1345607637220414e+77
2022-12-17,480581.0,5.80428148734843e+56,5.80428148734843e+56,2.5088516902547732e+37,1.042117091222404e+78
2022-12-24,472188.0,1.3703962671239458e+57,1.3703962671239458e+57,4.336940084705501e+37,3.4646273751409176e+78
2022-12-31,390378.0,3.2355183549259e+57,3.2355183549259e+57,7.497078940073349e+37,1.1518521454993266e+79
2023-01-07,501799.0,7.639088981928445e+57,7.639088981928445e+57,1.295987973041483e+38,3.829456391051546e+79
2023-01-14,375204.0,1.8035960261198095e+58,1.8035960261198095e+58,2.240320139386576e+38,1.273144537831286e+80
2023-01-21,354555.0,4.25830702212088e+58,4.25830702212088e+58,3.872749595008256e+38,4.2327097135085173e+80
2023-01-28,278015.0,1.0053902554695023e+59,1.0053902554695023e+59,6.694666883461036e+38,1.4072117408964721e+81
2023-02-04,329036.0,2.3737357605783667e+59,2.3737357605783667e+59,1.15728079408193e+39,4.678435076384245e+81
2023-02-11,255568.0,5.604412247279316e+59,5.604412247279316e+59,2.0005468966569102e+39,1.55539950629998e+82
2023-02-18,275095.0,1.323206953321603e+60,1.323206953321603e+60,3.458270361356053e+39,5.171106707466242e+82
2023-02-25,246552.0,3.1241039453666337e+60,3.1241039453666337e+60,5.978185162001975e+39,1.719195383809427e+83
2023-03-04,269680.0,7.376038522889478e+60,7.376038522889478e+60,1.033427451556662e+40,5.715670276910873e+83
2023-03-11,155727.0,1.7414895676515244e+61,1.7414895676515244e+61,1.7864498763101382e+40,1.9002436657257212e+84
